CustomerID,Lookalikes
C0001,"[('C0152', 0.995), ('C0174', 0.964), ('C0118', 0.959)]"
C0002,"[('C0134', 0.956), ('C0159', 0.945), ('C0007', 0.945)]"
C0003,"[('C0052', 0.995), ('C0031', 0.972), ('C0129', 0.967)]"
C0004,"[('C0102', 0.989), ('C0165', 0.983), ('C0108', 0.981)]"
C0005,"[('C0159', 1.0), ('C0007', 0.983), ('C0027', 0.97)]"
C0006,"[('C0187', 0.879), ('C0137', 0.843), ('C0048', 0.81)]"
C0007,"[('C0159', 0.986), ('C0005', 0.983), ('C0027', 0.963)]"
C0008,"[('C0024', 0.896), ('C0156', 0.866), ('C0194', 0.866)]"
C0009,"[('C0121', 0.975), ('C0063', 0.935), ('C0197', 0.933)]"
C0010,"[('C0199', 0.996), ('C0062', 0.971), ('C0132', 0.959)]"
C0011,"[('C0107', 0.991), ('C0001', 0.953), ('C0174', 0.933)]"
C0012,"[('C0013', 0.974), ('C0126', 0.962), ('C0087', 0.936)]"
C0013,"[('C0087', 0.991), ('C0012', 0.974), ('C0126', 0.942)]"
C0014,"[('C0063', 0.988), ('C0167', 0.939), ('C0089', 0.923)]"
C0015,"[('C0058', 0.993), ('C0020', 0.972), ('C0033', 0.967)]"
C0016,"[('C0183', 0.999), ('C0026', 0.906), ('C0018', 0.89)]"
C0017,"[('C0051', 0.933), ('C0075', 0.927), ('C0041', 0.902)]"
C0018,"[('C0117', 0.942), ('C0154', 0.915), ('C0183', 0.904)]"
C0019,"[('C0086', 0.894), ('C0103', 0.864), ('C0164', 0.836)]"
C0020,"[('C0033', 0.993), ('C0058', 0.983), ('C0144', 0.976)]"
